Country,Freedom2015,Freedom2016,Freedom2017,Freedom2018,Freedom2019,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,Generosity2015,Generosity2016,Generosity2017,Generosity2018,Generosity2019,Government_Corruption2015,Government_Corruption2016,Government_Corruption2017,Government_Corruption2018,Government_Corruption2019,Happiness_Score2015,Happiness_Score2016,Happiness_Score2017,Happiness_Score2018,Happiness_Score2019,Life_Expectancy2015,Life_Expectancy2016,Life_Expectancy2017,Life_Expectancy2018,Life_Expectancy2019,Social_Support2015,Social_Support2016,Social_Support2017,Social_Support2018,Social_Support2019,Happiness2015,Happiness2016,Happiness2017,Happiness2018,Happiness2019
Belgium,0.539770722,0.583,0.473,0.51231,0.547509372,1.463780761,1.324,1.356,0.87616,0.907975316,0.231503338,0.188,0.16,0.23684,0.240015641,0.251343131,0.24,0.21,0.10771,0.096581072,6.890999794,6.927,6.923,5.956,5.955999851,0.818091869,0.894,0.986,0.45569,0.450191766,1.462312698,1.483,1.504,0.68655,1.081417799,Happy,Happy,Happy,Happy,Happy
Belgium,0.583,0.473,0.51231,0.547509372,0.593,1.324,1.356,0.87616,0.907975316,0.807,0.188,0.16,0.23684,0.240015641,0.183,0.24,0.21,0.10771,0.096581072,0.089,6.927,6.923,5.956,5.955999851,5.956,0.894,0.986,0.45569,0.450191766,0.474,1.483,1.504,0.68655,1.081417799,1.101,Happy,Happy,Happy,Happy,Happy
Belgium,0.473,0.51231,0.547509372,0.593,0.4845,1.356,0.87616,0.907975316,0.807,0.28665,0.16,0.23684,0.240015641,0.183,0.1826,0.21,0.10771,0.096581072,0.089,0.0801,6.923,5.956,5.955999851,5.956,3.34,0.986,0.45569,0.450191766,0.474,0.3191,1.504,0.68655,1.081417799,1.101,0.35386,Happy,Happy,Happy,Happy,NotHappy
Belize,0.51231,0.547509372,0.593,0.4845,0.39747,0.87616,0.907975316,0.807,0.28665,0.39499,0.23684,0.240015641,0.183,0.1826,0.2018,0.10771,0.096581072,0.089,0.0801,0.06681,5.956,5.955999851,5.956,3.34,3.484,0.45569,0.450191766,0.474,0.3191,0.21028,0.68655,1.081417799,1.101,0.35386,0.10419,Happy,Happy,Happy,NotHappy,NotHappy
Belize,0.547509372,0.593,0.4845,0.39747,0.425962776,0.907975316,0.807,0.28665,0.39499,0.431085408,0.240015641,0.183,0.1826,0.2018,0.207948461,0.096581072,0.089,0.0801,0.06681,0.060929015,5.955999851,5.956,3.34,3.484,3.657000065,0.450191766,0.474,0.3191,0.21028,0.209930211,1.081417799,1.101,0.35386,0.10419,0.435299844,Happy,Happy,NotHappy,NotHappy,NotHappy
Belize,0.593,0.4845,0.39747,0.425962776,0.44,0.807,0.28665,0.39499,0.431085408,0.378,0.183,0.1826,0.2018,0.207948461,0.163,0.089,0.0801,0.06681,0.060929015,0.067,5.956,3.34,3.484,3.657000065,4.141,0.474,0.3191,0.21028,0.209930211,0.24,1.101,0.35386,0.10419,0.435299844,0.372,Happy,NotHappy,NotHappy,NotHappy,Happy
Benin,0.4845,0.39747,0.425962776,0.44,0.349,0.28665,0.39499,0.431085408,0.378,0.393,0.1826,0.2018,0.207948461,0.163,0.175,0.0801,0.06681,0.060929015,0.067,0.082,3.34,3.484,3.657000065,4.141,4.883,0.3191,0.21028,0.209930211,0.24,0.397,0.35386,0.10419,0.435299844,0.372,0.437,NotHappy,NotHappy,NotHappy,Happy,Happy
Benin,0.39747,0.425962776,0.44,0.349,0.53206,0.39499,0.431085408,0.378,0.393,0.77042,0.2018,0.207948461,0.163,0.175,0.47998,0.06681,0.060929015,0.067,0.082,0.15445,3.484,3.657000065,4.141,4.883,5.253,0.21028,0.209930211,0.24,0.397,0.57407,0.10419,0.435299844,0.372,0.437,1.10395,NotHappy,NotHappy,Happy,Happy,Happy
Benin,0.425962776,0.44,0.349,0.53206,0.46074,0.431085408,0.378,0.393,0.77042,0.8527,0.207948461,0.163,0.175,0.47998,0.48546,0.060929015,0.067,0.082,0.15445,0.1616,3.657000065,4.141,4.883,5.253,5.196,0.209930211,0.24,0.397,0.57407,0.49759,0.435299844,0.372,0.437,1.10395,0.90836,NotHappy,Happy,Happy,Happy,Happy
Benin,0.44,0.349,0.53206,0.46074,0.501537681,0.378,0.393,0.77042,0.8527,0.885416389,0.163,0.175,0.47998,0.48546,0.474054545,0.067,0.082,0.15445,0.1616,0.17338039,4.141,4.883,5.253,5.196,5.011000156,0.24,0.397,0.57407,0.49759,0.495879292,0.372,0.437,1.10395,0.90836,1.340126514,Happy,Happy,Happy,Happy,Happy
